  (-0.0380727,0)    (-0.112787,0)    (-0.186793,0)    (-0.259406,0)    (-0.329951,0)    (-0.397785,0)    (-0.462249,0)    (-0.522741,0)    (-0.578668,0)    (-0.629478,0)    (-0.674699,0)    (-0.713865,0)    (-0.746592,0)    (-0.772528,0)    (-0.791388,0)    (-0.802992,0)    (-0.807167,0)    (-0.803845,0)    (-0.792995,0)    (-0.774723,0)    (-0.749146,0)     (-0.71648,0)    (-0.676991,0)    (-0.631007,0)    (-0.578967,0)    (-0.521301,0)    (-0.458544,0)    (-0.391288,0)    (-0.320117,0)    (-0.245725,0)    (-0.168782,0)   (-0.0900249,0)
  (-0.0102014,0)    (0.0699509,0)     (0.149661,0)     (0.228162,0)     (0.304709,0)     (0.378571,0)     (0.448992,0)     (0.515299,0)      (0.57687,0)     (0.633081,0)     (0.683371,0)     (0.727267,0)     (0.764273,0)     (0.794039,0)     (0.816249,0)     (0.830705,0)     (0.837193,0)     (0.835649,0)      (0.82606,0)     (0.808525,0)     (0.783171,0)     (0.750203,0)     (0.709958,0)     (0.662771,0)     (0.609105,0)     (0.549454,0)     (0.484399,0)     (0.414535,0)     (0.340516,0)     (0.263088,0)     (0.182988,0)      (0.10097,0)
   (0.0178578,0)   (-0.0655579,0)     (-0.14849,0)    (-0.230097,0)    (-0.309594,0)    (-0.386233,0)    (-0.459219,0)    (-0.527837,0)    (-0.591422,0)    (-0.649343,0)    (-0.701039,0)    (-0.745976,0)    (-0.783707,0)    (-0.813846,0)    (-0.836085,0)    (-0.850233,0)      (-0.8561,0)    (-0.853625,0)    (-0.842835,0)    (-0.823813,0)    (-0.796738,0)    (-0.761859,0)    (-0.719515,0)    (-0.670106,0)    (-0.614122,0)    (-0.552077,0)    (-0.484609,0)    (-0.412339,0)    (-0.336001,0)    (-0.256335,0)    (-0.174089,0)   (-0.0901141,0)
 (-0.00521317,0)    (0.0797861,0)     (0.164062,0)     (0.246768,0)     (0.327108,0)     (0.404283,0)     (0.477507,0)     (0.546101,0)     (0.609354,0)     (0.666685,0)     (0.717519,0)     (0.761317,0)     (0.797657,0)     (0.826197,0)     (0.846657,0)     (0.858844,0)     (0.862617,0)     (0.857957,0)     (0.844884,0)     (0.823541,0)     (0.794139,0)     (0.756962,0)       (0.7124,0)     (0.660872,0)     (0.602895,0)     (0.539023,0)     (0.469912,0)     (0.396234,0)     (0.318701,0)     (0.238116,0)     (0.155242,0)     (0.070882,0)
  (-0.0141076,0)   (-0.0988912,0)    (-0.182669,0)    (-0.264587,0)    (-0.343856,0)    (-0.419718,0)    (-0.491387,0)    (-0.558193,0)    (-0.619494,0)    (-0.674687,0)    (-0.723245,0)    (-0.764693,0)    (-0.798633,0)    (-0.824744,0)    (-0.842785,0)    (-0.852618,0)    (-0.854113,0)    (-0.847295,0)    (-0.832216,0)    (-0.809092,0)    (-0.778137,0)    (-0.739656,0)    (-0.694053,0)    (-0.641789,0)     (-0.58339,0)     (-0.51942,0)    (-0.450544,0)    (-0.377439,0)    (-0.300811,0)    (-0.221397,0)    (-0.140022,0)   (-0.0574566,0)
   (0.0254834,0)     (0.107983,0)     (0.189269,0)     (0.268541,0)     (0.345023,0)     (0.418019,0)     (0.486822,0)     (0.550753,0)     (0.609231,0)     (0.661704,0)     (0.707689,0)     (0.746741,0)     (0.778545,0)     (0.802807,0)     (0.819297,0)     (0.827926,0)     (0.828611,0)     (0.821403,0)     (0.806368,0)     (0.783723,0)      (0.75368,0)     (0.716586,0)     (0.672812,0)      (0.62281,0)     (0.567094,0)     (0.506184,0)     (0.440708,0)     (0.371319,0)     (0.298669,0)     (0.223493,0)     (0.146482,0)     (0.068395,0)
  (-0.0099998,0)   (-0.0880259,0)    (-0.164923,0)    (-0.239965,0)     (-0.31248,0)    (-0.381792,0)    (-0.447259,0)    (-0.508312,0)    (-0.564401,0)    (-0.615042,0)    (-0.659783,0)    (-0.698281,0)    (-0.730169,0)    (-0.755224,0)    (-0.773241,0)    (-0.784139,0)    (-0.787829,0)    (-0.784331,0)    (-0.773718,0)    (-0.756177,0)    (-0.731893,0)    (-0.701128,0)    (-0.664194,0)    (-0.621483,0)    (-0.573413,0)    (-0.520456,0)    (-0.463137,0)    (-0.401983,0)    (-0.337548,0)    (-0.270447,0)    (-0.201302,0)    (-0.130723,0)
  (-0.0593508,0)    (0.0121937,0)     (0.083297,0)     (0.153333,0)     (0.221729,0)     (0.287915,0)     (0.351304,0)     (0.411424,0)     (0.467778,0)     (0.519907,0)     (0.567433,0)     (0.609998,0)     (0.647307,0)      (0.67907,0)     (0.705095,0)     (0.725234,0)     (0.739363,0)     (0.747439,0)     (0.749426,0)     (0.745412,0)     (0.735452,0)     (0.719701,0)     (0.698321,0)     (0.671525,0)     (0.639585,0)     (0.602794,0)      (0.56147,0)     (0.515962,0)     (0.466622,0)     (0.413861,0)     (0.358109,0)     (0.299771,0)
    (0.239268,0)     (0.177038,0)     (0.113514,0)     (0.049116,0)   (-0.0157252,0)    (-0.080599,0)    (-0.145081,0)    (-0.208784,0)    (-0.271359,0)    (-0.332462,0)    (-0.391766,0)    (-0.448958,0)    (-0.503757,0)    (-0.555931,0)    (-0.605255,0)    (-0.651554,0)    (-0.694637,0)    (-0.734372,0)     (-0.77068,0)    (-0.803478,0)    (-0.832692,0)    (-0.858305,0)    (-0.880309,0)    (-0.898757,0)    (-0.913678,0)    (-0.925117,0)    (-0.933178,0)    (-0.937969,0)    (-0.939579,0)     (-0.93817,0)    (-0.933875,0)    (-0.926813,0)
   (-0.917154,0)    (-0.905061,0)     (-0.89069,0)    (-0.874193,0)     (-0.85576,0)    (-0.835522,0)    (-0.813671,0)    (-0.790345,0)    (-0.765692,0)    (-0.739841,0)    (-0.712928,0)    (-0.685101,0)    (-0.656453,0)    (-0.627106,0)    (-0.597143,0)    (-0.566636,0)    (-0.535707,0)    (-0.504382,0)     (-0.47275,0)    (-0.440825,0)    (-0.408673,0)    (-0.376326,0)    (-0.343794,0)     (-0.31108,0)    (-0.278245,0)    (-0.245246,0)    (-0.212102,0)    (-0.178798,0)    (-0.145357,0)    (-0.111753,0)   (-0.0779795,0)    (-0.044043,0)
